_mm256_add_pd,VADDPD
_mm256_setzero_si256,VPXOR
_mm256_floor_ps,VROUNDPS
_mm256_ceil_ps,VROUNDPS
_mm256_floor_pd,VROUNDPD
_mm256_ceil_pd,VROUNDPD
_mm256_set_m128,VINSERTF128
_mm256_set_m128d,VINSERTF128
_mm256_set_m128i,VINSERTF128
_mm256_setr_m128,VINSERTF128
_mm256_setr_m128d,VINSERTF128
_mm256_setr_m128i,VINSERTF128
_mm256_cvtss_f32,VMOVSS
_mm256_cvtsd_f64,VMOVSD
_mm256_cvtsi256_si32,VMOVD
_mm256_abs_epi8,VPABSB
_mm256_abs_epi16,VPABSW
_mm256_abs_epi32,VPABSD
_mm256_add_epi8,VPADDB
_mm256_add_epi16,VPADDW
_mm256_add_epi32,VPADDD
_mm256_add_epi64,VPADDQ
_mm256_adds_epi8,VPADDSB
_mm256_adds_epi16,VPADDSW
_mm256_adds_epu8,VPADDUSB
_mm256_adds_epu16,VPADDUSW
_mm256_alignr_epi8,VPALIGNR
_mm256_and_si256,VPAND
_mm256_andnot_si256,VPANDN
_mm256_avg_epu8,VPAVGB
_mm256_avg_epu16,VPAVGW
_mm256_blend_epi16,VPBLENDW
_mm_blend_epi32,VPBLENDD
_mm256_blend_epi32,VPBLENDD
_mm256_blendv_epi8,VPBLENDVB
_mm_broadcastb_epi8,VPBROADCASTB
_mm256_broadcastb_epi8,VPBROADCASTB
_mm_broadcastd_epi32,VPBROADCASTD
_mm256_broadcastd_epi32,VPBROADCASTD
_mm_broadcastq_epi64,VPBROADCASTQ
_mm256_broadcastq_epi64,VPBROADCASTQ
_mm_broadcastsd_pd,MOVDDUP
_mm256_broadcastsd_pd,VBROADCASTSD
_mm_broadcastsi128_si256,VBROADCASTI128
_mm256_broadcastsi128_si256,VBROADCASTI128
_mm_broadcastss_ps,VBROADCASTSS
_mm256_broadcastss_ps,VBROADCASTSS
_mm_broadcastw_epi16,VPBROADCASTW
_mm256_broadcastw_epi16,VPBROADCASTW
_mm256_cmpeq_epi8,VPCMPEQB
_mm256_cmpeq_epi16,VPCMPEQW
_mm256_cmpeq_epi32,VPCMPEQD
_mm256_cmpeq_epi64,VPCMPEQQ
_mm256_cmpgt_epi8,VPCMPGTB
_mm256_cmpgt_epi16,VPCMPGTW
_mm256_cmpgt_epi32,VPCMPGTD
_mm256_cmpgt_epi64,VPCMPGTQ
_mm256_cvtepi16_epi32,VPMOVSXWD
_mm256_cvtepi16_epi64,VPMOVSXWQ
_mm256_cvtepi32_epi64,VPMOVSXDQ
_mm256_cvtepi8_epi16,VPMOVSXBW
_mm256_cvtepi8_epi32,VPMOVSXBD
_mm256_cvtepi8_epi64,VPMOVSXBQ
_mm256_cvtepu16_epi32,VPMOVZXWD
_mm256_cvtepu16_epi64,VPMOVZXWQ
_mm256_cvtepu32_epi64,VPMOVZXDQ
_mm256_cvtepu8_epi16,VPMOVZXBW
_mm256_cvtepu8_epi32,VPMOVZXBD
_mm256_cvtepu8_epi64,VPMOVZXBQ
_mm256_extracti128_si256,VEXTRACTI128
_mm256_hadd_epi16,VPHADDW
_mm256_hadd_epi32,VPHADDD
_mm256_hadds_epi16,VPHADDSW
_mm256_hsub_epi16,VPHSUBW
_mm256_hsub_epi32,VPHSUBD
_mm256_hsubs_epi16,VPHSUBSW
_mm256_inserti128_si256,VINSERTI128
_mm256_madd_epi16,VPMADDWD
_mm256_maddubs_epi16,VPMADDUBSW
_mm256_max_epi8,VPMAXSB
_mm256_max_epi16,VPMAXSW
_mm256_max_epi32,VPMAXSD
_mm256_max_epu8,VPMAXUB
_mm256_max_epu16,VPMAXUW
_mm256_max_epu32,VPMAXUD
_mm256_min_epi8,VPMINSB
_mm256_min_epi16,VPMINSW
_mm256_min_epi32,VPMINSD
_mm256_min_epu8,VPMINUB
_mm256_min_epu16,VPMINUW
_mm256_min_epu32,VPMINUD
_mm256_movemask_epi8,VPMOVMSKB
_mm256_mpsadbw_epu8,VMPSADBW
_mm256_mul_epi32,VPMULDQ
_mm256_mul_epu32,VPMULUDQ
_mm256_mulhi_epi16,VPMULHW
_mm256_mulhi_epu16,VPMULHUW
_mm256_mulhrs_epi16,VPMULHRSW
_mm256_mullo_epi16,VPMULLW
_mm256_mullo_epi32,VPMULLD
_mm256_or_si256,VPOR
_mm256_packs_epi16,VPACKSSWB
_mm256_packs_epi32,VPACKSSDW
_mm256_packus_epi16,VPACKUSWB
_mm256_packus_epi32,VPACKUSDW
_mm256_permute2x128_si256,VPERM2I128
_mm256_permute4x64_epi64,VPERMQ
_mm256_permute4x64_pd,VPERMPD
_mm256_permutevar8x32_epi32,VPERMD
_mm256_permutevar8x32_ps,VPERMPS
_mm256_sad_epu8,VPSADBW
_mm256_shuffle_epi32,VPSHUFD
_mm256_shuffle_epi8,VPSHUFB
_mm256_shufflehi_epi16,VPSHUFHW
_mm256_shufflelo_epi16,VPSHUFLW
_mm256_sign_epi8,VPSIGNB
_mm256_sign_epi16,VPSIGNW
_mm256_sign_epi32,VPSIGND
_mm256_slli_si256,VPSLLDQ
_mm256_bslli_epi128,VPSLLDQ
_mm256_sll_epi16,VPSLLW
_mm256_slli_epi16,VPSLLW
_mm256_sll_epi32,VPSLLD
_mm256_slli_epi32,VPSLLD
_mm256_sll_epi64,VPSLLQ
_mm256_slli_epi64,VPSLLQ
_mm_sllv_epi32,VPSLLVD
_mm256_sllv_epi32,VPSLLVD
_mm_sllv_epi64,VPSLLVQ
_mm256_sllv_epi64,VPSLLVQ
_mm256_sra_epi16,VPSRAW
_mm256_srai_epi16,VPSRAW
_mm256_sra_epi32,VPSRAD
_mm256_srai_epi32,VPSRAD
_mm_srav_epi32,VPSRAVD
_mm256_srav_epi32,VPSRAVD
_mm256_srli_si256,VPSRLDQ
_mm256_bsrli_epi128,VPSRLDQ
_mm256_srl_epi16,VPSRLW
_mm256_srli_epi16,VPSRLW
_mm256_srl_epi32,VPSRLD
_mm256_srli_epi32,VPSRLD
_mm256_srl_epi64,VPSRLQ
_mm256_srli_epi64,VPSRLQ
_mm_srlv_epi32,VPSRLVD
_mm256_srlv_epi32,VPSRLVD
_mm_srlv_epi64,VPSRLVQ
_mm256_srlv_epi64,VPSRLVQ
_mm256_sub_epi8,VPSUBB
_mm256_sub_epi16,VPSUBW
_mm256_sub_epi32,VPSUBD
_mm256_sub_epi64,VPSUBQ
_mm256_subs_epi8,VPSUBSB
_mm256_subs_epi16,VPSUBSW
_mm256_subs_epu8,VPSUBUSB
_mm256_subs_epu16,VPSUBUSW
_mm256_xor_si256,VPXOR
_mm256_unpackhi_epi8,VPUNPCKHBW
_mm256_unpackhi_epi16,VPUNPCKHWD
_mm256_unpackhi_epi32,VPUNPCKHDQ
_mm256_unpackhi_epi64,VPUNPCKHQDQ
_mm256_unpacklo_epi8,VPUNPCKLBW
_mm256_unpacklo_epi16,VPUNPCKLWD
_mm256_unpacklo_epi32,VPUNPCKLDQ
_mm256_unpacklo_epi64,VPUNPCKLQDQ
_mm512_kunpackd,KUNPCKDQ
_mm512_kunpackw,KUNPCKWD
_mm256_dbsad_epu8,VDBPSADBW
_mm256_mask_dbsad_epu8,VDBPSADBW
_mm256_maskz_dbsad_epu8,VDBPSADBW
_mm512_dbsad_epu8,VDBPSADBW
_mm512_mask_dbsad_epu8,VDBPSADBW
_mm512_maskz_dbsad_epu8,VDBPSADBW
_mm_dbsad_epu8,VDBPSADBW
_mm_mask_dbsad_epu8,VDBPSADBW
_mm_maskz_dbsad_epu8,VDBPSADBW
_mm256_mask_mov_epi16,VMOVDQU16
_mm256_maskz_mov_epi16,VMOVDQU16
_mm512_mask_mov_epi16,VMOVDQU16
_mm512_maskz_mov_epi16,VMOVDQU16
_mm_mask_mov_epi16,VMOVDQU16
_mm_maskz_mov_epi16,VMOVDQU16
_mm256_mask_mov_epi8,VMOVDQU8
_mm256_maskz_mov_epi8,VMOVDQU8
_mm512_mask_mov_epi8,VMOVDQU8
_mm512_maskz_mov_epi8,VMOVDQU8
_mm_mask_mov_epi8,VMOVDQU8
_mm_maskz_mov_epi8,VMOVDQU8
_mm256_mask_abs_epi8,VPABSB
_mm256_maskz_abs_epi8,VPABSB
_mm512_abs_epi8,VPABSB
_mm512_mask_abs_epi8,VPABSB
_mm512_maskz_abs_epi8,VPABSB
_mm_mask_abs_epi8,VPABSB
_mm_maskz_abs_epi8,VPABSB
_mm256_mask_abs_epi16,VPABSW
_mm256_maskz_abs_epi16,VPABSW
_mm512_abs_epi16,VPABSW
_mm512_mask_abs_epi16,VPABSW
_mm512_maskz_abs_epi16,VPABSW
_mm_mask_abs_epi16,VPABSW
_mm_maskz_abs_epi16,VPABSW
_mm256_mask_packs_epi32,VPACKSSDW
_mm256_maskz_packs_epi32,VPACKSSDW
_mm512_mask_packs_epi32,VPACKSSDW
_mm512_maskz_packs_epi32,VPACKSSDW
_mm512_packs_epi32,VPACKSSDW
_mm_mask_packs_epi32,VPACKSSDW
_mm_maskz_packs_epi32,VPACKSSDW
_mm256_mask_packs_epi16,VPACKSSWB
_mm256_maskz_packs_epi16,VPACKSSWB
_mm512_mask_packs_epi16,VPACKSSWB
_mm512_maskz_packs_epi16,VPACKSSWB
_mm512_packs_epi16,VPACKSSWB
_mm_mask_packs_epi16,VPACKSSWB
_mm_maskz_packs_epi16,VPACKSSWB
_mm256_mask_packus_epi32,VPACKUSDW
_mm256_maskz_packus_epi32,VPACKUSDW
_mm512_mask_packus_epi32,VPACKUSDW
_mm512_maskz_packus_epi32,VPACKUSDW
_mm512_packus_epi32,VPACKUSDW
_mm_mask_packus_epi32,VPACKUSDW
_mm_maskz_packus_epi32,VPACKUSDW
_mm256_mask_packus_epi16,VPACKUSWB
_mm256_maskz_packus_epi16,VPACKUSWB
_mm512_mask_packus_epi16,VPACKUSWB
_mm512_maskz_packus_epi16,VPACKUSWB
_mm512_packus_epi16,VPACKUSWB
_mm_mask_packus_epi16,VPACKUSWB
_mm_maskz_packus_epi16,VPACKUSWB
_mm256_mask_add_epi8,VPADDB
_mm256_maskz_add_epi8,VPADDB
_mm512_add_epi8,VPADDB
_mm512_mask_add_epi8,VPADDB
_mm512_maskz_add_epi8,VPADDB
_mm_mask_add_epi8,VPADDB
_mm_maskz_add_epi8,VPADDB
_mm256_mask_adds_epi8,VPADDSB
_mm256_maskz_adds_epi8,VPADDSB
_mm512_adds_epi8,VPADDSB
_mm512_mask_adds_epi8,VPADDSB
_mm512_maskz_adds_epi8,VPADDSB
_mm_mask_adds_epi8,VPADDSB
_mm_maskz_adds_epi8,VPADDSB
_mm256_mask_adds_epi16,VPADDSW
_mm256_maskz_adds_epi16,VPADDSW
_mm512_adds_epi16,VPADDSW
_mm512_mask_adds_epi16,VPADDSW
_mm512_maskz_adds_epi16,VPADDSW
_mm_mask_adds_epi16,VPADDSW
_mm_maskz_adds_epi16,VPADDSW
_mm256_mask_adds_epu8,VPADDUSB
_mm256_maskz_adds_epu8,VPADDUSB
_mm512_adds_epu8,VPADDUSB
_mm512_mask_adds_epu8,VPADDUSB
_mm512_maskz_adds_epu8,VPADDUSB
_mm_mask_adds_epu8,VPADDUSB
_mm_maskz_adds_epu8,VPADDUSB
_mm256_mask_adds_epu16,VPADDUSW
_mm256_maskz_adds_epu16,VPADDUSW
_mm512_adds_epu16,VPADDUSW
_mm512_mask_adds_epu16,VPADDUSW
_mm512_maskz_adds_epu16,VPADDUSW
_mm_mask_adds_epu16,VPADDUSW
_mm_maskz_adds_epu16,VPADDUSW
_mm256_mask_add_epi16,VPADDW
_mm256_maskz_add_epi16,VPADDW
_mm512_add_epi16,VPADDW
_mm512_mask_add_epi16,VPADDW
_mm512_maskz_add_epi16,VPADDW
_mm_mask_add_epi16,VPADDW
_mm_maskz_add_epi16,VPADDW
_mm256_mask_alignr_epi8,VPALIGNR
_mm256_maskz_alignr_epi8,VPALIGNR
_mm512_alignr_epi8,VPALIGNR
_mm512_mask_alignr_epi8,VPALIGNR
_mm512_maskz_alignr_epi8,VPALIGNR
_mm_mask_alignr_epi8,VPALIGNR
_mm_maskz_alignr_epi8,VPALIGNR
_mm256_mask_avg_epu8,VPAVGB
_mm256_maskz_avg_epu8,VPAVGB
_mm512_avg_epu8,VPAVGB
_mm512_mask_avg_epu8,VPAVGB
_mm512_maskz_avg_epu8,VPAVGB
_mm_mask_avg_epu8,VPAVGB
_mm_maskz_avg_epu8,VPAVGB
_mm256_mask_avg_epu16,VPAVGW
_mm256_maskz_avg_epu16,VPAVGW
_mm512_avg_epu16,VPAVGW
_mm512_mask_avg_epu16,VPAVGW
_mm512_maskz_avg_epu16,VPAVGW
_mm_mask_avg_epu16,VPAVGW
_mm_maskz_avg_epu16,VPAVGW
_mm256_mask_blend_epi8,VPBLENDMB
_mm512_mask_blend_epi8,VPBLENDMB
_mm_mask_blend_epi8,VPBLENDMB
_mm256_mask_blend_epi16,VPBLENDMW
_mm512_mask_blend_epi16,VPBLENDMW
_mm_mask_blend_epi16,VPBLENDMW
_mm256_mask_broadcastb_epi8,VPBROADCASTB
_mm256_mask_set1_epi8,VPBROADCASTB
_mm256_maskz_broadcastb_epi8,VPBROADCASTB
_mm256_maskz_set1_epi8,VPBROADCASTB
_mm512_broadcastb_epi8,VPBROADCASTB
_mm512_mask_broadcastb_epi8,VPBROADCASTB
_mm512_mask_set1_epi8,VPBROADCASTB
_mm512_maskz_broadcastb_epi8,VPBROADCASTB
_mm512_maskz_set1_epi8,VPBROADCASTB
_mm_mask_broadcastb_epi8,VPBROADCASTB
_mm_mask_set1_epi8,VPBROADCASTB
_mm_maskz_broadcastb_epi8,VPBROADCASTB
_mm_maskz_set1_epi8,VPBROADCASTB
_mm256_mask_broadcastw_epi16,VPBROADCASTW
_mm256_mask_set1_epi16,VPBROADCASTW
_mm256_maskz_broadcastw_epi16,VPBROADCASTW
_mm256_maskz_set1_epi16,VPBROADCASTW
_mm512_broadcastw_epi16,VPBROADCASTW
_mm512_mask_broadcastw_epi16,VPBROADCASTW
_mm512_mask_set1_epi16,VPBROADCASTW
_mm512_maskz_broadcastw_epi16,VPBROADCASTW
_mm512_maskz_set1_epi16,VPBROADCASTW
_mm_mask_broadcastw_epi16,VPBROADCASTW
_mm_mask_set1_epi16,VPBROADCASTW
_mm_maskz_broadcastw_epi16,VPBROADCASTW
_mm_maskz_set1_epi16,VPBROADCASTW
_mm256_cmpeq_epi8_mask,VPCMPB
_mm256_cmpge_epi8_mask,VPCMPB
_mm256_cmpgt_epi8_mask,VPCMPB
_mm256_cmple_epi8_mask,VPCMPB
_mm256_cmplt_epi8_mask,VPCMPB
_mm256_cmpneq_epi8_mask,VPCMPB
_mm256_mask_cmpeq_epi8_mask,VPCMPB
_mm256_mask_cmpge_epi8_mask,VPCMPB
_mm256_mask_cmpgt_epi8_mask,VPCMPB
_mm256_mask_cmple_epi8_mask,VPCMPB
_mm256_mask_cmplt_epi8_mask,VPCMPB
_mm256_mask_cmpneq_epi8_mask,VPCMPB
_mm512_cmpeq_epi8_mask,VPCMPB
_mm512_cmpge_epi8_mask,VPCMPB
_mm512_cmpgt_epi8_mask,VPCMPB
_mm512_cmple_epi8_mask,VPCMPB
_mm512_cmplt_epi8_mask,VPCMPB
_mm512_cmpneq_epi8_mask,VPCMPB
_mm512_mask_cmpeq_epi8_mask,VPCMPB
_mm512_mask_cmpge_epi8_mask,VPCMPB
_mm512_mask_cmpgt_epi8_mask,VPCMPB
_mm512_mask_cmple_epi8_mask,VPCMPB
_mm512_mask_cmplt_epi8_mask,VPCMPB
_mm512_mask_cmpneq_epi8_mask,VPCMPB
_mm_cmpeq_epi8_mask,VPCMPB
_mm_cmpge_epi8_mask,VPCMPB
_mm_cmpgt_epi8_mask,VPCMPB
_mm_cmple_epi8_mask,VPCMPB
_mm_cmplt_epi8_mask,VPCMPB
_mm_cmpneq_epi8_mask,VPCMPB
_mm_mask_cmpeq_epi8_mask,VPCMPB
_mm_mask_cmpge_epi8_mask,VPCMPB
_mm_mask_cmpgt_epi8_mask,VPCMPB
_mm_mask_cmple_epi8_mask,VPCMPB
_mm_mask_cmplt_epi8_mask,VPCMPB
_mm_mask_cmpneq_epi8_mask,VPCMPB
_mm256_cmpeq_epu8_mask,VPCMPUB
_mm256_cmpge_epu8_mask,VPCMPUB
_mm256_cmpgt_epu8_mask,VPCMPUB
_mm256_cmple_epu8_mask,VPCMPUB
_mm256_cmplt_epu8_mask,VPCMPUB
_mm256_cmpneq_epu8_mask,VPCMPUB
_mm256_mask_cmpeq_epu8_mask,VPCMPUB
_mm256_mask_cmpge_epu8_mask,VPCMPUB
_mm256_mask_cmpgt_epu8_mask,VPCMPUB
_mm256_mask_cmple_epu8_mask,VPCMPUB
_mm256_mask_cmplt_epu8_mask,VPCMPUB
_mm256_mask_cmpneq_epu8_mask,VPCMPUB
_mm512_cmpeq_epu8_mask,VPCMPUB
_mm512_cmpge_epu8_mask,VPCMPUB
_mm512_cmpgt_epu8_mask,VPCMPUB
_mm512_cmple_epu8_mask,VPCMPUB
_mm512_cmplt_epu8_mask,VPCMPUB
_mm512_cmpneq_epu8_mask,VPCMPUB
_mm512_mask_cmpeq_epu8_mask,VPCMPUB
_mm512_mask_cmpge_epu8_mask,VPCMPUB
_mm512_mask_cmpgt_epu8_mask,VPCMPUB
_mm512_mask_cmple_epu8_mask,VPCMPUB
_mm512_mask_cmplt_epu8_mask,VPCMPUB
_mm512_mask_cmpneq_epu8_mask,VPCMPUB
_mm_cmpeq_epu8_mask,VPCMPUB
_mm_cmpge_epu8_mask,VPCMPUB
_mm_cmpgt_epu8_mask,VPCMPUB
_mm_cmple_epu8_mask,VPCMPUB
_mm_cmplt_epu8_mask,VPCMPUB
_mm_cmpneq_epu8_mask,VPCMPUB
_mm_mask_cmpeq_epu8_mask,VPCMPUB
_mm_mask_cmpge_epu8_mask,VPCMPUB
_mm_mask_cmpgt_epu8_mask,VPCMPUB
_mm_mask_cmple_epu8_mask,VPCMPUB
_mm_mask_cmplt_epu8_mask,VPCMPUB
_mm_mask_cmpneq_epu8_mask,VPCMPUB
_mm256_cmpeq_epu16_mask,VPCMPUW
_mm256_cmpge_epu16_mask,VPCMPUW
_mm256_cmpgt_epu16_mask,VPCMPUW
_mm256_cmple_epu16_mask,VPCMPUW
_mm256_cmplt_epu16_mask,VPCMPUW
_mm256_cmpneq_epu16_mask,VPCMPUW
_mm256_mask_cmpeq_epu16_mask,VPCMPUW
_mm256_mask_cmpge_epu16_mask,VPCMPUW
_mm256_mask_cmpgt_epu16_mask,VPCMPUW
_mm256_mask_cmple_epu16_mask,VPCMPUW
_mm256_mask_cmplt_epu16_mask,VPCMPUW
_mm256_mask_cmpneq_epu16_mask,VPCMPUW
_mm512_cmpeq_epu16_mask,VPCMPUW
_mm512_cmpge_epu16_mask,VPCMPUW
_mm512_cmpgt_epu16_mask,VPCMPUW
_mm512_cmple_epu16_mask,VPCMPUW
_mm512_cmplt_epu16_mask,VPCMPUW
_mm512_cmpneq_epu16_mask,VPCMPUW
_mm512_mask_cmpeq_epu16_mask,VPCMPUW
_mm512_mask_cmpge_epu16_mask,VPCMPUW
_mm512_mask_cmpgt_epu16_mask,VPCMPUW
_mm512_mask_cmple_epu16_mask,VPCMPUW
_mm512_mask_cmplt_epu16_mask,VPCMPUW
_mm512_mask_cmpneq_epu16_mask,VPCMPUW
_mm_cmpeq_epu16_mask,VPCMPUW
_mm_cmpge_epu16_mask,VPCMPUW
_mm_cmpgt_epu16_mask,VPCMPUW
_mm_cmple_epu16_mask,VPCMPUW
_mm_cmplt_epu16_mask,VPCMPUW
_mm_cmpneq_epu16_mask,VPCMPUW
_mm_mask_cmpeq_epu16_mask,VPCMPUW
_mm_mask_cmpge_epu16_mask,VPCMPUW
_mm_mask_cmpgt_epu16_mask,VPCMPUW
_mm_mask_cmple_epu16_mask,VPCMPUW
_mm_mask_cmplt_epu16_mask,VPCMPUW
_mm_mask_cmpneq_epu16_mask,VPCMPUW
_mm256_cmpeq_epi16_mask,VPCMPW
_mm256_cmpge_epi16_mask,VPCMPW
_mm256_cmpgt_epi16_mask,VPCMPW
_mm256_cmple_epi16_mask,VPCMPW
_mm256_cmplt_epi16_mask,VPCMPW
_mm256_cmpneq_epi16_mask,VPCMPW
_mm256_mask_cmpeq_epi16_mask,VPCMPW
_mm256_mask_cmpge_epi16_mask,VPCMPW
_mm256_mask_cmpgt_epi16_mask,VPCMPW
_mm256_mask_cmple_epi16_mask,VPCMPW
_mm256_mask_cmplt_epi16_mask,VPCMPW
_mm256_mask_cmpneq_epi16_mask,VPCMPW
_mm512_cmpeq_epi16_mask,VPCMPW
_mm512_cmpge_epi16_mask,VPCMPW
_mm512_cmpgt_epi16_mask,VPCMPW
_mm512_cmple_epi16_mask,VPCMPW
_mm512_cmplt_epi16_mask,VPCMPW
_mm512_cmpneq_epi16_mask,VPCMPW
_mm512_mask_cmpeq_epi16_mask,VPCMPW
_mm512_mask_cmpge_epi16_mask,VPCMPW
_mm512_mask_cmpgt_epi16_mask,VPCMPW
_mm512_mask_cmple_epi16_mask,VPCMPW
_mm512_mask_cmplt_epi16_mask,VPCMPW
_mm512_mask_cmpneq_epi16_mask,VPCMPW
_mm_cmpeq_epi16_mask,VPCMPW
_mm_cmpge_epi16_mask,VPCMPW
_mm_cmpgt_epi16_mask,VPCMPW
_mm_cmple_epi16_mask,VPCMPW
_mm_cmplt_epi16_mask,VPCMPW
_mm_cmpneq_epi16_mask,VPCMPW
_mm_mask_cmpeq_epi16_mask,VPCMPW
_mm_mask_cmpge_epi16_mask,VPCMPW
_mm_mask_cmpgt_epi16_mask,VPCMPW
_mm_mask_cmple_epi16_mask,VPCMPW
_mm_mask_cmplt_epi16_mask,VPCMPW
_mm_mask_cmpneq_epi16_mask,VPCMPW
_mm256_mask2_permutex2var_epi16,VPERMI2W
_mm256_mask_permutex2var_epi16,VPERMT2W
_mm256_maskz_permutex2var_epi16,VPERMI2W
_mm256_permutex2var_epi16,VPERMI2W
_mm512_mask2_permutex2var_epi16,VPERMI2W
_mm512_mask_permutex2var_epi16,VPERMT2W
_mm512_maskz_permutex2var_epi16,VPERMI2W
_mm512_permutex2var_epi16,VPERMI2W
_mm_mask2_permutex2var_epi16,VPERMI2W
_mm_mask_permutex2var_epi16,VPERMT2W
_mm_maskz_permutex2var_epi16,VPERMI2W
_mm_permutex2var_epi16,VPERMI2W
_mm256_mask_permutexvar_epi16,VPERMW
_mm256_maskz_permutexvar_epi16,VPERMW
_mm256_permutexvar_epi16,VPERMW
_mm512_mask_permutexvar_epi16,VPERMW
_mm512_maskz_permutexvar_epi16,VPERMW
_mm512_permutexvar_epi16,VPERMW
_mm_mask_permutexvar_epi16,VPERMW
_mm_maskz_permutexvar_epi16,VPERMW
_mm_permutexvar_epi16,VPERMW
_mm256_mask_maddubs_epi16,VPMADDUBSW
_mm256_maskz_maddubs_epi16,VPMADDUBSW
_mm512_maddubs_epi16,VPMADDUBSW
_mm512_mask_maddubs_epi16,VPMADDUBSW
_mm512_maskz_maddubs_epi16,VPMADDUBSW
_mm_mask_maddubs_epi16,VPMADDUBSW
_mm_maskz_maddubs_epi16,VPMADDUBSW
_mm256_mask_madd_epi16,VPMADDWD
_mm256_maskz_madd_epi16,VPMADDWD
_mm512_madd_epi16,VPMADDWD
_mm512_mask_madd_epi16,VPMADDWD
_mm512_maskz_madd_epi16,VPMADDWD
_mm_mask_madd_epi16,VPMADDWD
_mm_maskz_madd_epi16,VPMADDWD
_mm256_mask_max_epi8,VPMAXSB
_mm256_maskz_max_epi8,VPMAXSB
_mm512_mask_max_epi8,VPMAXSB
_mm512_maskz_max_epi8,VPMAXSB
_mm512_max_epi8,VPMAXSB
_mm_mask_max_epi8,VPMAXSB
_mm_maskz_max_epi8,VPMAXSB
_mm256_mask_max_epi16,VPMAXSW
_mm256_maskz_max_epi16,VPMAXSW
_mm512_mask_max_epi16,VPMAXSW
_mm512_maskz_max_epi16,VPMAXSW
_mm512_max_epi16,VPMAXSW
_mm_mask_max_epi16,VPMAXSW
_mm_maskz_max_epi16,VPMAXSW
_mm256_mask_max_epu8,VPMAXUB
_mm256_maskz_max_epu8,VPMAXUB
_mm512_mask_max_epu8,VPMAXUB
_mm512_maskz_max_epu8,VPMAXUB
_mm512_max_epu8,VPMAXUB
_mm_mask_max_epu8,VPMAXUB
_mm_maskz_max_epu8,VPMAXUB
_mm256_mask_max_epu16,VPMAXUW
_mm256_maskz_max_epu16,VPMAXUW
_mm512_mask_max_epu16,VPMAXUW
_mm512_maskz_max_epu16,VPMAXUW
_mm512_max_epu16,VPMAXUW
_mm_mask_max_epu16,VPMAXUW
_mm_maskz_max_epu16,VPMAXUW
_mm256_mask_min_epi8,VPMINSB
_mm256_maskz_min_epi8,VPMINSB
_mm512_mask_min_epi8,VPMINSB
_mm512_maskz_min_epi8,VPMINSB
_mm512_min_epi8,VPMINSB
_mm_mask_min_epi8,VPMINSB
_mm_maskz_min_epi8,VPMINSB
_mm256_mask_min_epi16,VPMINSW
